customer_id,first_name,last_name,email,phone_number,address,gender,loyalty_status
fa56624d-74bc-4687-a5b3-60836da1a686,Larry,Ramirez,qcrawford@example.org,495.360.2106x222,"5015 Lori Turnpike Suite 976, West Brian, DE 79746",Male,Gold
0db8016a-0c6b-463f-afdd-49e1437f5672,Kimberly,Mills,smithjake@example.net,553.854.6596x57963,"9631 Sweeney Groves Suite 227, Port Kristin, OH 90928",Female,Silver
f284977a-8c56-4ac1-a805-c2519133052c,Anthony,Wagner,bakersteven@example.com,763.553.9078x869,"231 Kaitlyn Via Apt. 713, South Jennifer, NY 04823",Non-Binary,Gold
a29f4da9-f6ce-4861-828b-06504ec24281,Sandra,Hampton,msmith@example.com,(551)991-9433x0302,"258 Prince Causeway, Port Jefferymouth, IL 28298",Male,Basic
6fa2f4d3-5171-48f2-aaaa-978a80882b44,William,Adams,franklinfuller@example.com,364-449-2990x733,"00217 Gibson Lane, Stephaniefort, WA 32874",Male,Gold
7ca2926d-79db-4a71-a3c9-0f0576cd3d30,James,Smith,nicholasmorris@example.net,(547)849-0941x2912,"70718 Dominic Station, New Juanburgh, OR 39283",Non-Binary,Platinum
cd2e420e-f605-44ee-9815-ef9cf9a64a4e,David,Miller,martinezthomas@example.net,+1-937-220-3876x88031,"USS Diaz, FPO AA 25960",Male,Basic
b669565c-2a5f-4286-ae45-1f5a11038b3f,Debra,Curtis,lbishop@example.com,332.641.7976,"85871 Samantha Plain, Johnsonfort, AR 66470",Non-Binary,Silver
7c81c763-c972-413d-becc-6d0e6669a6fd,Audrey,Robertson,bsmith@example.org,+1-871-748-1840x8086,"701 Adams Extensions Suite 156, Jensenborough, FL 67927",Male,Basic
bcf84b10-7d93-48ae-83c0-b25a9a595117,Michael,Johnson,contrerasaudrey@example.net,882.578.2373x5671,"57222 Rachel Mountain, Paulaland, PA 79747",Male,Gold
1ec8af4b-27cb-4ff4-be11-9ef3cbda6da8,John,Hall,yesenia88@example.com,+1-204-963-9744x59947,"9871 Joseph Key, Adkinsberg, IA 65639",Female,Basic
5e6a4d0b-acf9-4fb7-bff2-e1d6c3f39997,Kevin,Stanley,jeremycopeland@example.com,+1-571-380-4336,"121 Michael Terrace, Port Gerald, NH 49702",Male,Basic
e76a9333-0f11-4e88-8a83-6b75d94eee07,Alex,Lambert,kevinstone@example.com,628.722.2555,"6394 Lopez Plaza, Port Kimberlyburgh, UT 18204",Female,Silver
72aadbb6-5841-41f8-88b3-589b1452c740,Briana,Charles,mendozarodney@example.com,4017350585,"3693 Rachel Crescent Apt. 483, Churchhaven, MI 87715",Female,Basic
4ae582f2-2046-4c31-9bf9-387b1cd54379,William,Benjamin,samantha42@example.net,(319)412-5297x0422,"1768 Chloe Junctions Apt. 639, South Dianahaven, OK 99247",Non-Binary,Silver
ff912684-e097-4e98-b0c9-794fef6fee16,Danielle,Kennedy,jason90@example.org,548.470.0610x516,"USCGC Evans, FPO AA 30484",Non-Binary,Platinum
f440d0bf-054b-4d5b-9214-a0ab8e305f59,Jeremy,Reynolds,tammymccoy@example.net,5779600972,"2149 Andrew Extension, Natalieton, WI 42351",Non-Binary,Silver
0dc9bc1d-1e62-4c35-9713-e7041769052d,Amanda,Sanchez,tcabrera@example.net,001-684-777-3901x7180,"53100 Garcia Lodge, Port Theresafort, MS 90705",Male,Silver
2b1e55a4-b26b-4cee-8ff8-88e0a43c690d,Robert,Wilkerson,tterry@example.com,4674755894,"45960 Fuentes Pine, Port Christopher, ID 18585",Male,Silver
7373c2cf-d8e8-4e8c-abab-ec147fe0b1ee,Jessica,Wilson,xlee@example.org,600.915.2217x7393,"PSC 2524, Box 7349, APO AP 50279",Male,Platinum
95abcf0a-9246-4fc1-a699-80ba0d03df7c,Kelly,Adams,jennifer24@example.com,386.473.6581x9894,"4356 Griffin Ranch Suite 334, Caseyhaven, CA 60210",Non-Binary,Silver
28c469eb-700e-4530-81ab-4fcf0dd0128a,Bryan,Carlson,fuentesjohn@example.net,001-523-409-3836,"9920 Bobby Pines Apt. 722, New Raymond, GU 48537",Non-Binary,Platinum
40d3b697-e571-4072-a738-25584373e3b0,Kelly,Peck,wchan@example.org,(371)398-6857x4501,"79692 Hogan Valley Apt. 340, New Mariachester, WY 99285",Male,Basic
5f70ce96-326c-42c3-8747-68771ea40248,Michael,Cervantes,vdaniels@example.net,593-826-4225x7673,"05603 Lewis Village Apt. 520, Jerryland, FM 31739",Male,Silver
c710cf3a-d8bb-4092-bc39-35272bb8466e,Leah,Reyes,brian27@example.org,245-739-5204x35018,"351 Karen Locks, North Damonhaven, HI 26773",Non-Binary,Silver
